Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WSeasonTeamID,LSeasonTeamID,WTeamName,LTeamName,WSeedRaw,LSeedRaw,WSeed,LSeed,Round
1985,137,1208,67,1455,59,N,0,1985_1208,1985_1455,Georgia,Wichita St,W06,W11,6,11,1.0
1985,137,1210,65,1273,58,N,0,1985_1210,1985_1273,Georgia Tech,Mercer,W02,W15,2,15,1.0
1985,137,1228,76,1318,57,N,0,1985_1228,1985_1318,Illinois,Northeastern,W03,W14,3,14,1.0
1985,137,1268,69,1275,68,N,1,1985_1268,1985_1275,Maryland,Miami OH,Z05,Z12,5,12,1.0
1985,137,1272,67,1335,55,N,0,1985_1272,1985_1335,Memphis,Penn,Y02,Y15,2,15,1.0
1985,137,1276,59,1192,55,N,0,1985_1276,1985_1192,Michigan,F Dickinson,Z01,Z16,1,16,1.0
1985,137,1298,78,1261,55,N,0,1985_1298,1985_1261,Navy,LSU,Z13,Z04,13,4,1.0
1985,137,1301,65,1305,56,N,0,1985_1301,1985_1305,NC State,Nevada,X03,X14,3,14,1.0
1985,137,1393,70,1177,65,N,0,1985_1393,1985_1177,Syracuse,DePaul,W07,W10,7,10,1.0
1985,137,1412,70,1277,68,N,0,1985_1412,1985_1277,UAB,Michigan St,Y07,Y10,7,10,1.0
1985,137,1431,79,1409,75,N,0,1985_1431,1985_1409,UTEP,Tulsa,X11,X06,11,6,1.0
1985,137,1433,81,1267,65,N,0,1985_1433,1985_1267,VCU,Marshall,X02,X15,2,15,1.0
1985,137,1437,51,1173,49,N,0,1985_1437,1985_1173,Villanova,Dayton,Z08,Z09,8,9,1.0
1985,138,1120,66,1242,64,N,0,1985_1120,1985_1242,Auburn,Kansas,Z11,Z03,11,3,2.0
1985,138,1207,63,1396,46,N,0,1985_1207,1985_1396,Georgetown,Temple,W01,W08,1,8,2.0
1985,138,1246,64,1424,61,N,0,1985_1246,1985_1424,Kentucky,UNLV,X12,X04,12,4,2.0
1985,138,1256,79,1326,67,N,0,1985_1256,1985_1326,Louisiana Tech,Ohio St,Y05,Y04,5,4,2.0
1985,138,1260,70,1374,57,N,0,1985_1260,1985_1374,Loyola-Chicago,SMU,W04,W05,4,5,2.0
1985,138,1314,60,1323,58,N,0,1985_1314,1985_1323,North Carolina,Notre Dame,Z02,Z07,2,7,2.0
1985,138,1328,75,1229,69,N,0,1985_1328,1985_1229,Oklahoma,Illinois St,Y01,Y09,1,9,2.0
1985,138,1385,68,1116,65,N,0,1985_1385,1985_1116,St John's,Arkansas,X01,X09,1,9,2.0
1985,139,1104,63,1433,59,N,0,1985_1104,1985_1433,Alabama,VCU,X07,X02,7,2,2.0
1985,139,1130,74,1181,73,N,0,1985_1130,1985_1181,Boston College,Duke,Y11,Y03,11,3,2.0
1985,139,1210,70,1393,53,N,0,1985_1210,1985_1393,Georgia Tech,Syracuse,W02,W07,2,7,2.0
1985,139,1228,74,1208,58,N,0,1985_1228,1985_1208,Illinois,Georgia,W03,W06,3,6,2.0
1985,139,1268,64,1298,59,N,0,1985_1268,1985_1298,Maryland,Navy,Z05,Z13,5,13,2.0
1985,139,1272,67,1412,66,N,1,1985_1272,1985_1412,Memphis,UAB,Y02,Y07,2,7,2.0
1985,139,1301,86,1431,73,N,0,1985_1301,1985_1431,NC State,UTEP,X03,X11,3,11,2.0
1985,139,1437,59,1276,55,N,0,1985_1437,1985_1276,Villanova,Michigan,Z08,Z01,8,1,2.0
1985,143,1207,65,1260,53,N,0,1985_1207,1985_1260,Georgetown,Loyola-Chicago,W01,W04,1,4,3.0
1985,143,1210,61,1228,53,N,0,1985_1210,1985_1228,Georgia Tech,Illinois,W02,W03,2,3,3.0
1985,143,1272,59,1130,57,N,0,1985_1272,1985_1130,Memphis,Boston College,Y02,Y11,2,11,3.0
1985,143,1328,86,1256,84,N,1,1985_1328,1985_1256,Oklahoma,Louisiana Tech,Y01,Y05,1,5,3.0
1985,144,1301,61,1104,55,N,0,1985_1301,1985_1104,NC State,Alabama,X03,X07,3,7,3.0
1985,144,1314,62,1120,56,N,0,1985_1314,1985_1120,North Carolina,Auburn,Z02,Z11,2,11,3.0
1985,144,1385,86,1246,70,N,0,1985_1385,1985_1246,St John's,Kentucky,X01,X12,1,12,3.0
1985,144,1437,46,1268,43,N,0,1985_1437,1985_1268,Villanova,Maryland,Z08,Z05,8,5,3.0
1985,145,1207,60,1210,54,N,0,1985_1207,1985_1210,Georgetown,Georgia Tech,W01,W02,1,2,4.0
1985,145,1272,63,1328,61,N,0,1985_1272,1985_1328,Memphis,Oklahoma,Y02,Y01,2,1,4.0
1985,146,1385,69,1301,60,N,0,1985_1385,1985_1301,St John's,NC State,X01,X03,1,3,4.0
1985,146,1437,56,1314,44,N,0,1985_1437,1985_1314,Villanova,North Carolina,Z08,Z02,8,2,4.0
1985,152,1207,77,1385,59,N,0,1985_1207,1985_1385,Georgetown,St John's,W01,X01,1,1,5.0
1985,152,1437,52,1272,45,N,0,1985_1437,1985_1272,Villanova,Memphis,Z08,Y02,8,2,5.0
1985,154,1437,66,1207,64,N,0,1985_1437,1985_1207,Villanova,Georgetown,Z08,W01,8,1,6.0
1986,136,1133,83,1431,65,N,0,1986_1133,1986_1431,Bradley,UTEP,Z07,Z10,7,10,1.0
1986,136,1177,72,1438,68,N,0,1986_1177,1986_1438,DePaul,Virginia,W12,W05,12,5,1.0
1986,136,1181,85,1290,78,N,0,1986_1181,1986_1290,Duke,MS Valley St,W01,W16,1,16,1.0
1986,136,1207,70,1403,64,N,0,1986_1207,1986_1403,Georgetown,Texas Tech,X04,X13,4,13,1.0
1986,136,1210,68,1265,53,N,0,1986_1210,1986_1265,Georgia Tech,Marist,Y02,Y15,2,15,1.0
1986,136,1242,71,1299,46,N,0,1986_1242,1986_1299,Kansas,NC A&T,X01,X16,1,16,1.0
1986,136,1257,93,1180,73,N,0,1986_1257,1986_1180,Louisville,Drexel,Z02,Z15,2,15,1.0
1986,136,1261,94,1345,87,N,1,1986_1261,1986_1345,LSU,Purdue,Y11,Y06,11,6,1.0
1986,136,1272,95,1123,63,N,0,1986_1272,1986_1123,Memphis,Ball St,Y03,Y14,3,14,1.0
1986,136,1277,72,1449,70,N,0,1986_1277,1986_1449,Michigan St,Washington,X05,X12,5,12,1.0
1986,136,1314,84,1428,72,N,0,1986_1314,1986_1428,North Carolina,Utah,Z03,Z14,3,14,1.0
1986,136,1328,80,1318,74,N,0,1986_1328,1986_1318,Oklahoma,Northeastern,W04,W13,4,13,1.0
1986,136,1330,72,1452,64,N,0,1986_1330,1986_1452,Old Dominion,West Virginia,W08,W09,8,9,1.0
1986,136,1396,61,1239,50,N,1,1986_1396,1986_1239,Temple,Jacksonville,X09,X08,9,8,1.0
1986,136,1412,66,1281,64,N,0,1986_1412,1986_1281,UAB,Missouri,Z06,Z11,6,11,1.0
1986,136,1437,71,1439,62,N,0,1986_1437,1986_1439,Villanova,Virginia Tech,Y10,Y07,10,7,1.0
1986,137,1104,97,1462,80,N,0,1986_1104,1986_1462,Alabama,Xavier,Y05,Y12,5,12,1.0
1986,137,1114,90,1323,83,N,0,1986_1114,1986_1323,Ark Little Rock,Notre Dame,X14,X03,14,3,1.0
1986,137,1120,73,1112,63,N,0,1986_1120,1986_1112,Auburn,Arizona,Z08,Z09,8,9,1.0
1986,137,1156,83,1231,79,N,0,1986_1156,1986_1231,Cleveland St,Indiana,W14,W03,14,3,1.0
1986,137,1228,75,1193,51,N,0,1986_1228,1986_1193,Illinois,Fairfield,Y04,Y13,4,13,1.0
1986,137,1235,81,1275,79,N,1,1986_1235,1986_1275,Iowa St,Miami OH,X07,X10,7,10,1.0
1986,137,1246,75,1172,55,N,0,1986_1246,1986_1172,Kentucky,Davidson,Y01,Y16,1,16,1.0
1986,137,1268,69,1337,64,N,0,1986_1268,1986_1337,Maryland,Pepperdine,Z05,Z12,5,12,1.0
1986,137,1276,70,1103,64,N,0,1986_1276,1986_1103,Michigan,Akron,X02,X15,2,15,1.0
1986,137,1298,87,1409,68,N,0,1986_1298,1986_1409,Navy,Tulsa,W07,W10,7,10,1.0
1986,137,1301,66,1234,64,N,0,1986_1301,1986_1234,NC State,Iowa,X06,X11,6,11,1.0
1986,137,1385,83,1286,74,N,0,1986_1385,1986_1286,St John's,Montana St,Z01,Z16,1,16,1.0
1986,137,1386,60,1350,59,N,0,1986_1386,1986_1350,St Joseph's PA,Richmond,W06,W11,6,11,1.0
1986,137,1393,101,1135,52,N,0,1986_1393,1986_1135,Syracuse,Brown,W02,W15,2,15,1.0
1986,137,1424,74,1419,51,N,0,1986_1424,1986_1419,UNLV,ULM,Z04,Z13,4,13,1.0
1986,137,1443,67,1304,59,N,0,1986_1443,1986_1304,WKU,Nebraska,Y08,Y09,8,9,1.0
1986,138,1177,74,1328,69,N,0,1986_1177,1986_1328,DePaul,Oklahoma,W12,W04,12,4,2.0
1986,138,1181,89,1330,61,N,0,1986_1181,1986_1330,Duke,Old Dominion,W01,W08,1,8,2.0
1986,138,1210,66,1437,61,N,0,1986_1210,1986_1437,Georgia Tech,Villanova,Y02,Y10,2,10,2.0
1986,138,1242,65,1396,43,N,0,1986_1242,1986_1396,Kansas,Temple,X01,X09,1,9,2.0
1986,138,1257,82,1133,68,N,0,1986_1257,1986_1133,Louisville,Bradley,Z02,Z07,2,7,2.0
1986,138,1261,83,1272,81,N,0,1986_1261,1986_1272,LSU,Memphis,Y11,Y03,11,3,2.0
1986,138,1277,80,1207,68,N,0,1986_1277,1986_1207,Michigan St,Georgetown,X05,X04,5,4,2.0
1986,138,1314,77,1412,59,N,0,1986_1314,1986_1412,North Carolina,UAB,Z03,Z06,3,6,2.0
1986,139,1104,58,1228,56,N,0,1986_1104,1986_1228,Alabama,Illinois,Y05,Y04,5,4,2.0
1986,139,1120,81,1385,65,N,0,1986_1120,1986_1385,Auburn,St John's,Z08,Z01,8,1,2.0
1986,139,1156,75,1386,69,N,0,1986_1156,1986_1386,Cleveland St,St Joseph's PA,W14,W06,14,6,2.0
1986,139,1235,72,1276,69,N,0,1986_1235,1986_1276,Iowa St,Michigan,X07,X02,7,2,2.0
1986,139,1246,71,1443,64,N,0,1986_1246,1986_1443,Kentucky,WKU,Y01,Y08,1,8,2.0
1986,139,1298,97,1393,85,N,0,1986_1298,1986_1393,Navy,Syracuse,W07,W02,7,2,2.0
1986,139,1301,80,1114,66,N,1,1986_1301,1986_1114,NC State,Ark Little Rock,X06,X14,6,14,2.0
1986,139,1424,70,1268,64,N,0,1986_1424,1986_1268,UNLV,Maryland,Z04,Z05,4,5,2.0
1986,143,1120,70,1424,63,N,0,1986_1120,1986_1424,Auburn,UNLV,Z08,Z04,8,4,3.0
1986,143,1246,68,1104,63,N,0,1986_1246,1986_1104,Kentucky,Alabama,Y01,Y05,1,5,3.0
1986,143,1257,94,1314,79,N,0,1986_1257,1986_1314,Louisville,North Carolina,Z02,Z03,2,3,3.0
1986,143,1261,70,1210,64,N,0,1986_1261,1986_1210,LSU,Georgia Tech,Y11,Y02,11,2,3.0
1986,144,1181,74,1177,67,N,0,1986_1181,1986_1177,Duke,DePaul,W01,W12,1,12,3.0
1986,144,1242,96,1277,86,N,1,1986_1242,1986_1277,Kansas,Michigan St,X01,X05,1,5,3.0
1986,144,1298,71,1156,70,N,0,1986_1298,1986_1156,Navy,Cleveland St,W07,W14,7,14,3.0
1986,144,1301,70,1235,66,N,0,1986_1301,1986_1235,NC State,Iowa St,X06,X07,6,7,3.0
1986,145,1257,84,1120,76,N,0,1986_1257,1986_1120,Louisville,Auburn,Z02,Z08,2,8,4.0
1986,145,1261,59,1246,57,N,0,1986_1261,1986_1246,LSU,Kentucky,Y11,Y01,11,1,4.0
1986,146,1181,71,1298,50,N,0,1986_1181,1986_1298,Duke,Navy,W01,W07,1,7,4.0
1986,146,1242,75,1301,67,N,0,1986_1242,1986_1301,Kansas,NC State,X01,X06,1,6,4.0
1986,152,1181,71,1242,67,N,0,1986_1181,1986_1242,Duke,Kansas,W01,X01,1,1,5.0
1986,152,1257,88,1261,77,N,0,1986_1257,1986_1261,Louisville,LSU,Z02,Y11,2,11,5.0
1986,154,1257,72,1181,69,N,0,1986_1257,1986_1181,Louisville,Duke,Z02,W01,2,1,6.0
1987,136,1104,88,1299,71,N,0,1987_1104,1987_1299,Alabama,NC A&T,X02,X15,2,15,1.0
1987,136,1120,62,1360,61,N,0,1987_1120,1987_1360,Auburn,San Diego,Y08,Y09,8,9,1.0
1987,136,1122,68,1228,67,N,0,1987_1122,1987_1228,Austin Peay,Illinois,X14,X03,14,3,1.0
1987,136,1181,58,1401,51,N,0,1987_1181,1987_1401,Duke,Texas A&M,Y05,Y12,5,12,1.0
1987,136,1231,92,1193,58,N,0,1987_1231,1987_1193,Indiana,Fairfield,Y01,Y16,1,16,1.0
1987,136,1243,82,1208,79,N,1,1987_1243,1987_1208,Kansas St,Georgia,Z09,Z08,9,8,1.0
1987,136,1276,97,1298,82,N,0,1987_1276,1987_1298,Michigan,Navy,W09,W08,9,8,1.0
1987,136,1309,83,1140,79,N,0,1987_1309,1987_1140,New Orleans,BYU,X07,X10,7,10,1.0
1987,136,1314,113,1335,82,N,0,1987_1314,1987_1335,North Carolina,Penn,W01,W16,1,16,1.0
1987,136,1323,84,1292,71,N,0,1987_1323,1987_1292,Notre Dame,MTSU,W05,W12,5,12,1.0
1987,136,1344,90,1412,68,N,0,1987_1344,1987_1412,Providence,UAB,X06,X11,6,11,1.0
1987,136,1395,76,1267,60,N,0,1987_1395,1987_1267,TCU,Marshall,W04,W13,4,13,1.0
1987,136,1417,92,1141,73,N,0,1987_1417,1987_1141,UCLA,C Michigan,Z04,Z13,4,13,1.0
1987,136,1424,95,1226,70,N,0,1987_1424,1987_1226,UNLV,Idaho St,Z01,Z16,1,16,1.0
1987,136,1461,64,1438,60,N,0,1987_1461,1987_1438,Wyoming,Virginia,Z12,Z05,12,5,1.0
1987,136,1462,70,1281,69,N,0,1987_1462,1987_1281,Xavier,Missouri,Y13,Y04,13,4,1.0
1987,137,1177,76,1256,62,N,0,1987_1177,1987_1256,DePaul,Louisiana Tech,Y03,Y14,3,14,1.0
1987,137,1196,82,1301,70,N,0,1987_1196,1987_1301,Florida,NC State,W06,W11,6,11,1.0
1987,137,1207,75,1137,53,N,0,1987_1207,1987_1137,Georgetown,Bucknell,X01,X16,1,16,1.0
1987,137,1234,99,1365,76,N,0,1987_1234,1987_1365,Iowa,Santa Clara,Z02,Z15,2,15,1.0
1987,137,1242,66,1222,55,N,0,1987_1242,1987_1222,Kansas,Houston,X05,X12,5,12,1.0
1987,137,1261,85,1210,79,N,0,1987_1261,1987_1210,LSU,Georgia Tech,Y10,Y07,10,7,1.0
1987,137,1283,65,1155,60,N,0,1987_1283,1987_1155,Missouri St,Clemson,X13,X04,13,4,1.0
1987,137,1326,91,1246,77,N,0,1987_1326,1987_1246,Ohio St,Kentucky,X09,X08,9,8,1.0
1987,137,1328,74,1409,69,N,0,1987_1328,1987_1409,Oklahoma,Tulsa,Z06,Z11,6,11,1.0
1987,137,1338,93,1265,68,N,0,1987_1338,1987_1265,Pittsburgh,Marist,Z03,Z14,3,14,1.0
1987,137,1345,104,1318,95,N,0,1987_1345,1987_1318,Purdue,Northeastern,W03,W14,3,14,1.0
1987,137,1385,57,1455,55,N,0,1987_1385,1987_1455,St John's,Wichita St,Y06,Y11,6,11,1.0
1987,137,1393,79,1204,73,N,0,1987_1393,1987_1204,Syracuse,Ga Southern,W02,W15,2,15,1.0
1987,137,1396,75,1380,56,N,0,1987_1396,1987_1380,Temple,Southern Univ,Y02,Y15,2,15,1.0
1987,137,1431,98,1112,91,N,1,1987_1431,1987_1112,UTEP,Arizona,Z07,Z10,7,10,1.0
1987,137,1443,64,1452,62,N,0,1987_1443,1987_1452,WKU,West Virginia,W10,W07,10,7,1.0
1987,138,1104,101,1309,76,N,0,1987_1104,1987_1309,Alabama,New Orleans,X02,X07,2,7,2.0
1987,138,1181,65,1462,60,N,0,1987_1181,1987_1462,Duke,Xavier,Y05,Y13,5,13,2.0
1987,138,1231,107,1120,90,N,0,1987_1231,1987_1120,Indiana,Auburn,Y01,Y08,1,8,2.0
1987,138,1314,109,1276,97,N,0,1987_1314,1987_1276,North Carolina,Michigan,W01,W09,1,9,2.0
1987,138,1323,58,1395,57,N,0,1987_1323,1987_1395,Notre Dame,TCU,W05,W04,5,4,2.0
1987,138,1344,90,1122,87,N,1,1987_1344,1987_1122,Providence,Austin Peay,X06,X14,6,14,2.0
1987,138,1424,80,1243,61,N,0,1987_1424,1987_1243,UNLV,Kansas St,Z01,Z09,1,9,2.0
1987,138,1461,78,1417,68,N,0,1987_1461,1987_1417,Wyoming,UCLA,Z12,Z04,12,4,2.0
1987,139,1177,83,1385,75,N,1,1987_1177,1987_1385,DePaul,St John's,Y03,Y06,3,6,2.0
1987,139,1196,85,1345,66,N,0,1987_1196,1987_1345,Florida,Purdue,W06,W03,6,3,2.0
1987,139,1207,82,1326,79,N,0,1987_1207,1987_1326,Georgetown,Ohio St,X01,X09,1,9,2.0
1987,139,1234,84,1431,82,N,0,1987_1234,1987_1431,Iowa,UTEP,Z02,Z07,2,7,2.0
1987,139,1242,67,1283,63,N,0,1987_1242,1987_1283,Kansas,Missouri St,X05,X13,5,13,2.0
1987,139,1261,72,1396,62,N,0,1987_1261,1987_1396,LSU,Temple,Y10,Y02,10,2,2.0
1987,139,1328,96,1338,93,N,0,1987_1328,1987_1338,Oklahoma,Pittsburgh,Z06,Z03,6,3,2.0
1987,139,1393,104,1443,86,N,0,1987_1393,1987_1443,Syracuse,WKU,W02,W10,2,10,2.0
1987,143,1207,70,1242,57,N,0,1987_1207,1987_1242,Georgetown,Kansas,X01,X05,1,5,3.0
1987,143,1314,74,1323,68,N,0,1987_1314,1987_1323,North Carolina,Notre Dame,W01,W05,1,5,3.0
1987,143,1344,103,1104,82,N,0,1987_1344,1987_1104,Providence,Alabama,X06,X02,6,2,3.0
1987,143,1393,87,1196,81,N,0,1987_1393,1987_1196,Syracuse,Florida,W02,W06,2,6,3.0
1987,144,1231,88,1181,82,N,0,1987_1231,1987_1181,Indiana,Duke,Y01,Y05,1,5,3.0
1987,144,1234,93,1328,91,N,1,1987_1234,1987_1328,Iowa,Oklahoma,Z02,Z06,2,6,3.0
1987,144,1261,63,1177,58,N,0,1987_1261,1987_1177,LSU,DePaul,Y10,Y03,10,3,3.0
1987,144,1424,92,1461,78,N,0,1987_1424,1987_1461,UNLV,Wyoming,Z01,Z12,1,12,3.0
1987,145,1344,88,1207,73,N,0,1987_1344,1987_1207,Providence,Georgetown,X06,X01,6,1,4.0
1987,145,1393,79,1314,75,N,0,1987_1393,1987_1314,Syracuse,North Carolina,W02,W01,2,1,4.0
1987,146,1231,77,1261,76,N,0,1987_1231,1987_1261,Indiana,LSU,Y01,Y10,1,10,4.0
1987,146,1424,84,1234,81,N,0,1987_1424,1987_1234,UNLV,Iowa,Z01,Z02,1,2,4.0
1987,152,1231,97,1424,93,N,0,1987_1231,1987_1424,Indiana,UNLV,Y01,Z01,1,1,5.0
1987,152,1393,77,1344,63,N,0,1987_1393,1987_1344,Syracuse,Providence,W02,X06,2,6,5.0
1987,154,1231,74,1393,73,N,0,1987_1231,1987_1393,Indiana,Syracuse,Y01,W02,1,2,6.0
1988,136,1120,90,1133,86,N,0,1988_1120,1988_1133,Auburn,Bradley,Y08,Y09,8,9,1.0
1988,136,1140,98,1150,92,N,1,1988_1140,1988_1150,BYU,Charlotte,Y04,Y13,4,13,1.0
1988,136,1177,83,1455,62,N,0,1988_1177,1988_1455,DePaul,Wichita St,X05,X12,5,12,1.0
1988,136,1181,85,1131,69,N,0,1988_1181,1988_1131,Duke,Boston Univ,W02,W15,2,15,1.0
1988,136,1196,62,1385,59,N,0,1988_1196,1988_1385,Florida,St John's,Z06,Z11,6,11,1.0
1988,136,1243,66,1247,53,N,0,1988_1243,1988_1247,Kansas St,La Salle,X04,X13,4,13,1.0
1988,136,1257,70,1333,61,N,0,1988_1257,1988_1333,Louisville,Oregon St,Y05,Y12,5,12,1.0
1988,136,1258,119,1461,115,N,0,1988_1258,1988_1461,Loy Marymount,Wyoming,Z10,Z07,10,7,1.0
1988,136,1272,75,1124,60,N,0,1988_1272,1988_1124,Memphis,Baylor,X09,X08,9,8,1.0
1988,136,1276,63,1129,58,N,0,1988_1276,1988_1129,Michigan,Boise St,Z03,Z14,3,14,1.0
1988,136,1314,83,1317,65,N,0,1988_1314,1988_1317,North Carolina,North Texas,Z02,Z15,2,15,1.0
1988,136,1328,94,1151,66,N,0,1988_1328,1988_1151,Oklahoma,Chattanooga,Y01,Y16,1,16,1.0
1988,136,1345,94,1192,79,N,0,1988_1345,1988_1192,Purdue,F Dickinson,X01,X16,1,16,1.0
1988,136,1348,87,1281,80,N,0,1988_1348,1988_1281,Rhode Island,Missouri,W11,W06,11,6,1.0
1988,136,1374,83,1323,75,N,0,1988_1374,1988_1323,SMU,Notre Dame,W07,W10,7,10,1.0
1988,136,1393,69,1299,55,N,0,1988_1393,1988_1299,Syracuse,NC A&T,W03,W14,3,14,1.0
1988,137,1112,90,1165,50,N,0,1988_1112,1988_1165,Arizona,Cornell,Z01,Z16,1,16,1.0
1988,137,1207,66,1261,63,N,0,1988_1207,1988_1261,Georgetown,LSU,W08,W09,8,9,1.0
1988,137,1210,90,1235,78,N,0,1988_1210,1988_1235,Georgia Tech,Iowa St,W05,W12,5,12,1.0
1988,137,1228,81,1427,72,N,0,1988_1228,1988_1427,Illinois,UT San Antonio,Y03,Y14,3,14,1.0
1988,137,1234,102,1199,98,N,0,1988_1234,1988_1199,Iowa,Florida St,Z05,Z12,5,12,1.0
1988,137,1242,85,1462,72,N,0,1988_1242,1988_1462,Kansas,Xavier,X06,X11,6,11,1.0
1988,137,1246,99,1380,84,N,0,1988_1246,1988_1380,Kentucky,Southern Univ,Y02,Y15,2,15,1.0
1988,137,1268,92,1364,82,N,0,1988_1268,1988_1364,Maryland,UC Santa Barbara,Y07,Y10,7,10,1.0
1988,137,1293,78,1301,75,N,0,1988_1293,1988_1301,Murray St,NC State,X14,X03,14,3,1.0
1988,137,1338,108,1185,90,N,0,1988_1338,1988_1185,Pittsburgh,E Michigan,X02,X15,2,15,1.0
1988,137,1350,72,1231,69,N,0,1988_1350,1988_1231,Richmond,Indiana,W13,W04,13,4,1.0
1988,137,1371,80,1431,64,N,0,1988_1371,1988_1431,Seton Hall,UTEP,Z08,Z09,8,9,1.0
1988,137,1396,87,1250,73,N,0,1988_1396,1988_1250,Temple,Lehigh,W01,W16,1,16,1.0
1988,137,1424,54,1283,50,N,0,1988_1424,1988_1283,UNLV,Missouri St,Z04,Z13,4,13,1.0
1988,137,1435,80,1429,77,N,0,1988_1435,1988_1429,Vanderbilt,Utah St,X07,X10,7,10,1.0
1988,137,1437,82,1116,74,N,0,1988_1437,1988_1116,Villanova,Arkansas,Y06,Y11,6,11,1.0
1988,138,1181,94,1374,79,N,0,1988_1181,1988_1374,Duke,SMU,W02,W07,2,7,2.0
1988,138,1243,66,1177,58,N,0,1988_1243,1988_1177,Kansas St,DePaul,X04,X05,4,5,2.0
1988,138,1257,97,1140,76,N,0,1988_1257,1988_1140,Louisville,BYU,Y05,Y04,5,4,2.0
1988,138,1276,108,1196,85,N,0,1988_1276,1988_1196,Michigan,Florida,Z03,Z06,3,6,2.0
1988,138,1314,123,1258,97,N,0,1988_1314,1988_1258,North Carolina,Loy Marymount,Z02,Z10,2,10,2.0
1988,138,1328,107,1120,87,N,0,1988_1328,1988_1120,Oklahoma,Auburn,Y01,Y08,1,8,2.0
1988,138,1345,100,1272,73,N,0,1988_1345,1988_1272,Purdue,Memphis,X01,X09,1,9,2.0
1988,138,1348,97,1393,94,N,0,1988_1348,1988_1393,Rhode Island,Syracuse,W11,W03,11,3,2.0
1988,139,1112,84,1371,55,N,0,1988_1112,1988_1371,Arizona,Seton Hall,Z01,Z08,1,8,2.0
1988,139,1234,104,1424,86,N,0,1988_1234,1988_1424,Iowa,UNLV,Z05,Z04,5,4,2.0
1988,139,1242,61,1293,58,N,0,1988_1242,1988_1293,Kansas,Murray St,X06,X14,6,14,2.0
1988,139,1246,90,1268,81,N,0,1988_1246,1988_1268,Kentucky,Maryland,Y02,Y07,2,7,2.0
1988,139,1350,59,1210,55,N,0,1988_1350,1988_1210,Richmond,Georgia Tech,W13,W05,13,5,2.0
1988,139,1396,74,1207,53,N,0,1988_1396,1988_1207,Temple,Georgetown,W01,W08,1,8,2.0
1988,139,1435,80,1338,74,N,1,1988_1435,1988_1338,Vanderbilt,Pittsburgh,X07,X02,7,2,2.0
1988,139,1437,66,1228,63,N,0,1988_1437,1988_1228,Villanova,Illinois,Y06,Y03,6,3,2.0
1988,143,1181,73,1348,72,N,0,1988_1181,1988_1348,Duke,Rhode Island,W02,W11,2,11,3.0
1988,143,1328,108,1257,98,N,0,1988_1328,1988_1257,Oklahoma,Louisville,Y01,Y05,1,5,3.0
1988,143,1396,69,1350,47,N,0,1988_1396,1988_1350,Temple,Richmond,W01,W13,1,13,3.0
1988,143,1437,80,1246,74,N,0,1988_1437,1988_1246,Villanova,Kentucky,Y06,Y02,6,2,3.0
1988,144,1112,99,1234,79,N,0,1988_1112,1988_1234,Arizona,Iowa,Z01,Z05,1,5,3.0
